Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
28524,全网,2,2,5450,,1,0.0035%,
28540,无聊,2,2,5451,,1,0.0035%,
28542,初三,2,2,5452,,1,0.0035%,
28544,想过,2,2,5453,,1,0.0035%,
28555,命题,2,2,5454,,1,0.0035%,
28564,就没,2,2,593,1,2,0.0070%,
28566,导体,2,2,1314,1,2,0.0070%,
28570,捐款,2,2,5455,,1,0.0035%,
28573,找个,2,2,5456,,1,0.0035%,
28576,发扬,2,2,5457,,1,0.0035%,
28581,幽默,2,2,5458,,3,0.0105%,
28589,五十,2,2,5459,,1,0.0035%,
28590,合力,2,2,5460,,1,0.0035%,
28608,号楼,2,2,5461,,1,0.0035%,
28609,夏日,2,2,5462,,1,0.0035%,
28610,无可,2,2,5463,,1,0.0035%,
28611,早晚,2,2,5464,,1,0.0035%,
28620,不明,2,2,5465,,1,0.0035%,
28625,模样,2,2,5466,,1,0.0035%,
28628,征求,2,2,5467,,1,0.0035%,
28636,做起,2,2,5468,,1,0.0035%,
28638,潜在,2,2,5469,,1,0.0035%,
28648,用电,2,2,5470,,1,0.0035%,
28654,仅需,2,2,5471,,1,0.0035%,
28655,任意,2,2,5472,,1,0.0035%,
28661,路边,2,2,5473,,1,0.0035%,
28664,随之,2,2,5474,,1,0.0035%,
28667,排版,2,2,5475,,1,0.0035%,
28680,防御,2,2,5476,,3,0.0105%,
28684,热量,2,2,5477,,1,0.0035%,
28687,东路,2,2,5478,,1,0.0035%,
28688,联络,2,2,5479,,1,0.0035%,
28702,集合,2,2,5480,,1,0.0035%,
28705,聚餐,2,2,5481,,1,0.0035%,
28708,资深,2,2,5482,,1,0.0035%,
28710,走过,2,2,5483,,1,0.0035%,
28711,心思,2,2,5484,,1,0.0035%,
28720,情报,2,2,5485,,1,0.0035%,
28721,焦点,2,2,5486,,1,0.0035%,
28723,教训,2,2,5487,,1,0.0035%,
28726,史上,2,2,1037,1,2,0.0070%,
28727,给出,2,2,5488,,1,0.0035%,
28744,低价,2,2,5489,,1,0.0035%,
28748,智商,2,2,5490,,1,0.0035%,
28751,红旗,2,2,5491,,1,0.0035%,
28754,这道,2,2,5492,,1,0.0035%,
28757,设有,2,2,5493,,1,0.0035%,
28759,选购,2,2,5494,,1,0.0035%,
28761,小姐,2,2,1155,2,2,0.0070%,
28771,落在,2,2,5495,,1,0.0035%,
28777,临近,2,2,5496,,1,0.0035%,
28778,榜单,2,2,5497,,1,0.0035%,
28793,住在,2,2,5498,,1,0.0035%,
28794,沉淀,2,2,5499,,4,0.0141%,
28797,涨价,2,2,5500,,1,0.0035%,
28798,模糊,2,2,5501,,3,0.0105%,
28802,眼光,2,2,5502,,1,0.0035%,
28803,考上,2,2,5503,,1,0.0035%,
28807,翡翠,2,2,5504,,5,0.0176%,
28810,几百,2,2,5505,,1,0.0035%,
28811,队的,2,2,5506,,1,0.0035%,
28817,复苏,2,2,5507,,1,0.0035%,
28818,静脉,2,2,5508,,1,0.0035%,
28825,月薪,2,2,5509,,1,0.0035%,
28833,脆弱,2,2,5510,,5,0.0176%,
28838,不像,2,2,5511,,1,0.0035%,
28841,答应,2,2,5512,,1,0.0035%,
28845,不着,2,2,5513,,1,0.0035%,
28846,言论,2,2,5514,,1,0.0035%,
28857,厂商,2,2,5515,,1,0.0035%,
28859,伴侣,2,2,5516,,1,0.0035%,
28860,杀人,2,2,5517,,1,0.0035%,
28861,条款,2,2,5518,,1,0.0035%,
28862,西亚,2,2,5519,,1,0.0035%,
28863,我为,2,2,5520,,1,0.0035%,
28864,肾脏,2,2,5521,,3,0.0105%,
28868,辞职,2,2,5522,,3,0.0105%,
28873,斯特,2,2,5523,,1,0.0035%,
28875,仓库,2,2,5524,,3,0.0105%,
28879,转运,2,2,5525,,1,0.0035%,
28883,直属,2,2,5526,,1,0.0035%,
28887,龙虾,2,2,5527,,3,0.0105%,
28899,办案,2,2,5528,,1,0.0035%,
28906,节能,2,2,5529,,1,0.0035%,
28910,住建,2,2,5530,,1,0.0035%,
28911,有益,2,2,5531,,1,0.0035%,
28914,面子,2,2,5532,,1,0.0035%,
28919,区块,2,2,5533,,1,0.0035%,
28920,摆放,2,2,5534,,1,0.0035%,
28925,室外,2,2,5535,,1,0.0035%,
28927,病变,2,2,5536,,1,0.0035%,
28943,假的,2,2,5537,,1,0.0035%,
28946,配件,2,2,5538,,1,0.0035%,
28947,热度,2,2,5539,,1,0.0035%,
28949,烧烤,2,2,5540,,3,0.0105%,
28955,果然,2,2,5541,,1,0.0035%,
28966,疲惫,2,2,5542,,3,0.0105%,
28967,营商,2,2,321,1,2,0.0070%,
28981,内地,2,2,5543,,1,0.0035%,
28983,切成,2,2,5544,,1,0.0035%,
29000,和大,2,2,1255,1,2,0.0070%,
29002,新兴,2,2,5545,,1,0.0035%,
29014,珍贵,2,2,5546,,1,0.0035%,
29018,带上,2,2,5547,,1,0.0035%,
29031,利的,2,2,5548,,1,0.0035%,
29039,异议,2,2,5549,,1,0.0035%,
29048,标的,2,2,5550,,1,0.0035%,
29052,一提,2,2,5551,,1,0.0035%,
29053,每位,2,2,5552,,1,0.0035%,
29059,介入,2,2,5553,,1,0.0035%,
29064,汇聚,2,2,5554,,1,0.0035%,
29067,被动,2,2,5555,,1,0.0035%,
29072,去除,2,2,5556,,1,0.0035%,
29077,发文,2,2,5557,,1,0.0035%,
29081,候选,2,2,5558,,1,0.0035%,
29084,玩乐,2,2,5559,,1,0.0035%,
29088,一台,2,2,5560,,1,0.0035%,
29089,临沂,2,2,5561,,3,0.0105%,
29094,但却,2,2,5562,,1,0.0035%,
29095,执着,2,2,5563,,1,0.0035%,
29099,形的,2,2,5564,,1,0.0035%,
29104,可达,2,2,5565,,1,0.0035%,
29105,饰演,2,2,5566,,1,0.0035%,
29117,书中,2,2,5567,,1,0.0035%,
29118,万余,2,2,5568,,1,0.0035%,
29121,极致,2,2,5569,,1,0.0035%,
29125,质感,2,2,5570,,1,0.0035%,
29126,秋天,2,2,5571,,1,0.0035%,
29131,一小,2,2,5572,,1,0.0035%,
29138,纸质,2,2,5573,,1,0.0035%,
29150,家电,2,2,5574,,1,0.0035%,
29154,用餐,2,2,5575,,1,0.0035%,
29155,行车,2,2,60,4,3,0.0105%,
29156,奋进,2,2,5576,,1,0.0035%,
29157,香气,2,2,5577,,1,0.0035%,
29168,助手,2,2,5578,,1,0.0035%,
29178,陪同,2,2,5579,,1,0.0035%,
29186,连锁,2,2,5580,,3,0.0105%,
29192,潍坊,2,2,5581,,5,0.0176%,
29193,繁华,2,2,5582,,1,0.0035%,
29200,角落,2,2,5583,,1,0.0035%,
29202,大纲,2,2,5584,,3,0.0105%,
29203,钻石,2,2,5585,,3,0.0105%,
29204,发型,2,2,5586,,1,0.0035%,
29207,花的,2,2,5587,,1,0.0035%,
29209,我有,2,2,5588,,1,0.0035%,
29212,同等,2,2,5589,,1,0.0035%,
29213,血脂,2,2,5590,,1,0.0035%,
29224,越高,2,2,5591,,1,0.0035%,
29227,难过,2,2,5592,,1,0.0035%,
29249,老旧,2,2,5593,,1,0.0035%,
29250,表白,2,2,5594,,1,0.0035%,
29252,一番,2,2,5595,,3,0.0105%,
29255,外部,2,2,5596,,1,0.0035%,
29261,寒冷,2,2,5597,,1,0.0035%,
29264,夫妇,2,2,5598,,1,0.0035%,
29275,自家,2,2,5599,,1,0.0035%,
29279,车身,2,2,5600,,1,0.0035%,
29282,周知,2,2,5601,,1,0.0035%,
29283,上网,2,2,5602,,1,0.0035%,
29285,清热,2,2,5603,,1,0.0035%,
29289,修养,2,2,5604,,1,0.0035%,
29296,增添,2,2,5605,,1,0.0035%,
29318,双向,2,2,5606,,1,0.0035%,
29320,古城,2,2,5607,,1,0.0035%,
29330,山的,2,2,5608,,1,0.0035%,
29333,尼亚,2,2,5609,,3,0.0105%,
29335,走的,2,2,5610,,1,0.0035%,
29338,中部,2,2,5611,,1,0.0035%,
29339,奇迹,2,2,5612,,1,0.0035%,
29340,小小,2,2,5613,,1,0.0035%,
29342,新车,2,2,5614,,1,0.0035%,
29346,做题,2,2,5615,,1,0.0035%,
29349,玩法,2,2,5616,,1,0.0035%,
29356,附加,2,2,5617,,1,0.0035%,
29360,万事,2,2,5618,,1,0.0035%,
29368,扩张,2,2,5619,,1,0.0035%,
29383,双眼,2,2,5620,,1,0.0035%,
29395,录制,2,2,5621,,1,0.0035%,
29397,演技,2,2,5622,,1,0.0035%,
29398,说道,2,2,5623,,1,0.0035%,
29402,大佬,2,2,5624,,3,0.0105%,
29405,悲剧,2,2,5625,,4,0.0141%,
29410,开口,2,2,5626,,1,0.0035%,
29415,朝鲜,2,2,5627,,1,0.0035%,
29426,陪你,2,2,5628,,1,0.0035%,
29430,饭店,2,2,5629,,1,0.0035%,
29443,烟台,2,2,5630,,1,0.0035%,
29449,丽的,2,2,932,2,2,0.0070%,
29453,爱人,2,2,5631,,1,0.0035%,
29456,湾区,2,2,5632,,1,0.0035%,
29472,绘本,2,2,5633,,1,0.0035%,
29474,她是,2,2,5634,,1,0.0035%,
29476,朗读,2,2,5635,,1,0.0035%,
29477,这三,2,2,5636,,1,0.0035%,
29480,老乡,2,2,5637,,1,0.0035%,
29487,堵塞,2,2,5638,,5,0.0176%,
29488,天蝎,2,2,5639,,3,0.0105%,
29493,洛阳,2,2,5640,,3,0.0105%,
29506,特惠,2,2,5641,,1,0.0035%,
29516,淀粉,2,2,5642,,1,0.0035%,
29526,课时,2,2,5643,,1,0.0035%,
29535,戏剧,2,2,5644,,1,0.0035%,
29538,上帝,2,2,5645,,1,0.0035%,
29543,担忧,2,2,5646,,1,0.0035%,
29549,杆菌,2,2,5647,,3,0.0105%,
29554,三星,2,2,5648,,1,0.0035%,
29557,杜绝,2,2,5649,,3,0.0105%,
29558,牛仔,2,2,5650,,1,0.0035%,
29564,严谨,2,2,5651,,1,0.0035%,
29566,调味,2,2,5652,,1,0.0035%,
29570,唯有,2,2,1268,1,2,0.0070%,
29574,省考,2,2,5653,,1,0.0035%,
29575,特效,2,2,5654,,1,0.0035%,
29579,宁市,2,2,5655,,1,0.0035%,
29581,等着,2,2,5656,,1,0.0035%,
29582,运转,2,2,5657,,1,0.0035%,
29585,判处,2,2,5658,,1,0.0035%,
29588,写字,2,2,5659,,1,0.0035%,
29589,金牛,2,2,5660,,1,0.0035%,
29609,党校,2,2,5661,,1,0.0035%,
29610,海上,2,2,5662,,1,0.0035%,
29612,续航,2,2,5663,,1,0.0035%,
29622,搞定,2,2,5664,,1,0.0035%,
29624,寂寞,2,2,5665,,5,0.0176%,
29625,往下,2,2,5666,,1,0.0035%,
29626,不顾,2,2,5667,,1,0.0035%,
29627,格外,2,2,5668,,1,0.0035%,
29630,毛病,2,2,5669,,1,0.0035%,
29632,预告,2,2,5670,,1,0.0035%,
29636,圈子,2,2,5671,,1,0.0035%,
29639,跨越,2,2,5672,,1,0.0035%,
29642,更快,2,2,5673,,1,0.0035%,
29646,之美,2,2,5674,,1,0.0035%,
29648,脱离,2,2,5675,,1,0.0035%,
29652,经纪,2,2,5676,,1,0.0035%,
29654,抗日,2,2,5677,,1,0.0035%,
29657,处女,2,2,5678,,1,0.0035%,
